Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
VANRY/USDT,MATURE,0.01,Downward,-1,-1.69,45,43.82,Neutral,-3.48,High Risk,Caution,0,1.8,D,Underweight,Conservative Allocation,-1.910927069,"WATCHLIST: Reference return -3.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.45,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
POLY/USDT,MATURE,0.27,Upward,1,3.96,100,50.61,Neutral,-1.56,High Risk,Caution,0,46.8,C+,Watchlist,Double Check,0.144542265,"ATTENTION: Reference return -1.6%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.27) | Lower Warning: 0.26, Lower Danger: 0.24, Upper Warning: 0.28, Upper Danger: 0.3",ATTENTION,Speculative,Strong,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Strong,49,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
RAY/USDT,MATURE,0.62,Downward,-1,0.99,65,46.5,Neutral,-1.22,High Risk,Caution,0,29.1,D,Underweight,Conservative Allocation,-2.12872787,"WATCHLIST: Reference return -1.2%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.62) | Lower Warning: 0.59, Lower Danger: 0.56, Upper Warning: 0.65, Upper Danger: 0.68",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,30.61,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
VIC/USDT,MATURE,0.05,Downward,-1,0.85,75,40.75,Neutral,-4.02,High Risk,Caution,0,29.1,D,Underweight,Conservative Allocation,-2.04312184,"WATCHLIST: Reference return -4.0%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.05) | Lower Warning: 0.04, Lower Danger: 0.04, Upper Warning: 0.05, Upper Danger: 0.05",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,31.18,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
LUNC/USDT,MATURE,0,Downward,-1,-1.43,55,51.53,Neutral,-1.22,High Risk,Caution,20.3,10.5,D,Underweight,Conservative Allocation,-0.072751113,"WATCHLIST: Reference return -1.2%, Safety 20.3/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Risky,Weak,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Risky | Weak,25.08,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
ACE/USDT,MATURE,0.12,Downward,-1,-0.57,25,36.82,Bearish,-4.54,High Risk,Caution,0,5,D,Underweight,Conservative Allocation,-1.761404709,"WATCHLIST: Reference return -4.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.12) | Lower Warning: 0.11, Lower Danger: 0.1, Upper Warning: 0.12, Upper Danger: 0.13",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.51,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
MAV/USDT,MATURE,0.01,Downward,-1,0.19,60,39.98,Bearish,-2.79,High Risk,Caution,0,19.9,D,Underweight,Conservative Allocation,-1.660467449,"WATCHLIST: Reference return -2.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.02",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,24.44,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
1INCH/USDT,MATURE,0.09,Downward,-1,-1.29,35,45.83,Neutral,-1.29,High Risk,Caution,5.1,3.5,D,Underweight,Conservative Allocation,-1.369770819,"WATCHLIST: Reference return -1.3%, Safety 5.1/100, Risk: High Risk","Risk Reference Prices (Current: 0.09) | Lower Warning: 0.08, Lower Danger: 0.08, Upper Warning: 0.09, Upper Danger: 0.1",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,14.44,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ROBO/USDT,WARM,0.02,Unknown,0,-1.23,10,50,Low Confidence,-2.2,High Risk,Caution,0,-1.5,D,Underweight,Conservative Allocation,-7.585499925,"WATCHLIST: Reference return -2.2%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.02, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,7.98,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
THETA/USDT,MATURE,0.16,Downward,-1,0.38,60,39.59,Bearish,-2.69,High Risk,Caution,0,21.7,D,Underweight,Conservative Allocation,-2.183836197,"WATCHLIST: Reference return -2.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.16) | Lower Warning: 0.15, Lower Danger: 0.14, Upper Warning: 0.16, Upper Danger: 0.17",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,25.42,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
TIA/USDT,MATURE,0.29,Downward,-1,-2.03,10,45.54,Neutral,-2.3,High Risk,Caution,0,-6.5,D,Underweight,Conservative Allocation,-2.027173067,"WATCHLIST: Reference return -2.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.29) | Lower Warning: 0.27, Lower Danger: 0.26, Upper Warning: 0.3, Upper Danger: 0.32",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,4.03,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
OGN/USDT,MATURE,0.02,Downward,-1,-1.84,55,46.71,Neutral,-3.53,High Risk,Caution,1.3,3.7,D,Underweight,Conservative Allocation,-1.160777492,"WATCHLIST: Reference return -3.5%, Safety 1.3/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.02, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,14.89,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
RUNE/USDT,MATURE,0.39,Downward,-1,-1.21,35,47.51,Neutral,-0.25,High Risk,Caution,1.6,3.6,D,Underweight,Conservative Allocation,-2.378156214,"WATCHLIST: Reference return -0.2%, Safety 1.6/100, Risk: High Risk","Risk Reference Prices (Current: 0.39) | Lower Warning: 0.37, Lower Danger: 0.35, Upper Warning: 0.41, Upper Danger: 0.42",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,13.62,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
SKY/USDT,MATURE,0.07,Upward,1,3.73,90,53.88,Neutral,1.35,Low Risk,Caution,27.1,52.8,C+,Watchlist,Double Check,0.169340815,"ATTENTION: Reference return 1.4%, Safety 27.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.07) | Lower Warning: 0.07, Lower Danger: 0.07, Upper Warning: 0.08, Upper Danger: 0.08",ATTENTION,Caution,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Caution | Strong,58.54,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
BABY/USDT,MATURE,0.01,Downward,-1,0.44,70,47.06,Neutral,-3.26,High Risk,Caution,0,25.4,D,Underweight,Conservative Allocation,-1.573903097,"WATCHLIST: Reference return -3.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,28.93,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
AR/USDT,MATURE,1.65,Downward,-1,-1.33,35,43.07,Neutral,-2.72,High Risk,Caution,0,1.8,D,Underweight,Conservative Allocation,-1.319319995,"WATCHLIST: Reference return -2.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 1.65) | Lower Warning: 1.57, Lower Danger: 1.48, Upper Warning: 1.73, Upper Danger: 1.82",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,11.77,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
FTM/USDT,MATURE,0.7,Downward,-1,0.24,35,50.11,Neutral,-1.36,High Risk,Caution,0,16.9,D,Underweight,Conservative Allocation,0.785829956,"WATCHLIST: Reference return -1.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.70) | Lower Warning: 0.66, Lower Danger: 0.63, Upper Warning: 0.73, Upper Danger: 0.77",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,20.93,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
EIGEN/USDT,MATURE,0.15,Downward,-1,-2.92,20,41.49,Neutral,-5.26,High Risk,Caution,0,-7.7,D,Underweight,Conservative Allocation,-2.889882489,"WATCHLIST: Reference return -5.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.15) | Lower Warning: 0.15, Lower Danger: 0.14, Upper Warning: 0.16, Upper Danger: 0.17",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,2.54,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
LUNA/USDT,MATURE,0.06,Downward,-1,-2.91,20,45.67,Neutral,-2,High Risk,Caution,6.8,-5.7,D,Underweight,Conservative Allocation,-0.78047628,"WATCHLIST: Reference return -2.0%, Safety 6.8/100, Risk: High Risk","Risk Reference Prices (Current: 0.06) | Lower Warning: 0.05, Lower Danger: 0.05, Upper Warning: 0.06, Upper Danger: 0.06",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,5.96,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
IOTA/USDT,MATURE,0.06,Downward,-1,0.18,50,42.91,Neutral,-2.26,High Risk,Caution,0,18.2,D,Underweight,Conservative Allocation,-1.997896478,"WATCHLIST: Reference return -2.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.06) | Lower Warning: 0.06, Lower Danger: 0.05, Upper Warning: 0.06, Upper Danger: 0.07",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,22.7,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
GAL/USDT,MATURE,2.54,Downward,-1,4.41,85,39.41,Bearish,-1.02,High Risk,Caution,0,42.4,C,Caution,Risk Mitigation,0.472817822,"WATCHLIST: Reference return -1.0%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 2.54) | Lower Warning: 2.41, Lower Danger: 2.29, Upper Warning: 2.67, Upper Danger: 2.8",WATCHLIST,Speculative,Strong,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Strong,45.44,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
XAI/USDT,MATURE,0.01,Downward,-1,-1.69,45,44.6,Neutral,-3.27,High Risk,Caution,0,1.9,D,Underweight,Conservative Allocation,-1.557914137,"WATCHLIST: Reference return -3.3%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.56,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
AEVO/USDT,MATURE,0.02,Downward,-1,0.39,60,43.05,Neutral,-1.2,High Risk,Caution,0,22.3,D,Underweight,Conservative Allocation,-1.660309623,"WATCHLIST: Reference return -1.2%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.02, Upper Warning: 0.03, Upper Danger: 0.03",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,25.97,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
NEIRO/USDT,MATURE,0,Downward,-1,-0.47,35,39.01,Bearish,-3.71,High Risk,Caution,0,8.2,D,Underweight,Conservative Allocation,-1.961909093,"WATCHLIST: Reference return -3.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Speculative | Fragile,15.44,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
ROSE/USDT,MATURE,0.01,Downward,-1,-1.45,30,40.08,Neutral,-3.19,High Risk,Caution,5.5,0.7,D,Underweight,Conservative Allocation,-0.931087794,"WATCHLIST: Reference return -3.2%, Safety 5.5/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.02,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
FLOKI/USDT,MATURE,0,Downward,-1,-1.36,35,44.57,Neutral,-1.72,High Risk,Caution,0.3,1.9,D,Underweight,Conservative Allocation,-1.620145577,"WATCHLIST: Reference return -1.7%, Safety 0.3/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,11.98,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ANKR/USDT,MATURE,0.01,Downward,-1,1.94,85,50.41,Neutral,0.45,High Risk,Caution,0,40.3,C,Caution,Risk Mitigation,-1.575847779,"WATCHLIST: Reference return 0.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.0, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,Speculative,Strong,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Strong,39.73,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
AUDIO/USDT,MATURE,0.02,Downward,-1,-2.91,20,42.6,Neutral,-3.06,High Risk,Caution,5.8,-6.4,D,Underweight,Conservative Allocation,-2.618010375,"WATCHLIST: Reference return -3.1%, Safety 5.8/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.02, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,5.1,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
LDO/USDT,MATURE,0.32,Downward,-1,1.08,65,43.23,Neutral,-0.91,High Risk,Caution,0,29.3,D,Underweight,Conservative Allocation,-1.833083289,"WATCHLIST: Reference return -0.9%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.32) | Lower Warning: 0.3, Lower Danger: 0.29, Upper Warning: 0.33, Upper Danger: 0.35",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,30.56,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
KAITO/USDT,MATURE,0.42,Downward,-1,1.5,75,55.01,Neutral,0.77,High Risk,Caution,0,37.2,C,Caution,Risk Mitigation,-1.121209029,"WATCHLIST: Reference return 0.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.42) | Lower Warning: 0.4, Lower Danger: 0.38, Upper Warning: 0.44, Upper Danger: 0.47",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Watch / DCA Only,Growth Allocation,High Risk | Speculative | Acceptable,36.66,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current weakness suggests observation or gradual accumulation only.
A2Z/USDT,MATURE,0,Downward,-1,-1.81,40,31.79,Bearish,-8.24,High Risk,Caution,0,-1.6,D,Underweight,Conservative Allocation,-2.987197936,"WATCHLIST: Reference return -8.2%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,9.17,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ATOM/USDT,MATURE,1.7,Downward,-1,0.19,50,45.06,Neutral,-0.88,High Risk,Caution,16.4,21.9,D,Underweight,Conservative Allocation,-1.673900138,"WATCHLIST: Reference return -0.9%, Safety 16.4/100, Risk: High Risk","Risk Reference Prices (Current: 1.70) | Lower Warning: 1.61, Lower Danger: 1.53, Upper Warning: 1.78, Upper Danger: 1.86",WATCHLIST,Risky,Weak,Aggressive Growth,Watch / DCA Only,High-Beta Growth Position,High Risk | Risky | Weak,29.79,Suitable for aggressive investors targeting high upside with elevated risk exposure. Current weakness suggests observation or gradual accumulation only.
KERNEL/USDT,MATURE,0.1,Upward,1,1.94,100,62.94,Bullish,1.5,High Risk,Caution,0,46.9,C+,Watchlist,Double Check,-0.421340973,"WATCHLIST: Reference return 1.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.10) | Lower Warning: 0.1, Lower Danger: 0.09, Upper Warning: 0.11, Upper Danger: 0.11",WATCHLIST,Speculative,Strong,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Strong,45.21,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
ENSO/USDT,MATURE,0.92,Downward,-1,-2.5,20,40.28,Neutral,-7.5,High Risk,Caution,0,-6.9,D,Underweight,Conservative Allocation,-0.063763742,"WATCHLIST: Reference return -7.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.92) | Lower Warning: 0.87, Lower Danger: 0.83, Upper Warning: 0.96, Upper Danger: 1.01",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,3.71,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
OMNI/USDT,MATURE,3.88,Upward,1,1.69,85,48.37,Neutral,-3.17,High Risk,Caution,0,38,C,Caution,Risk Mitigation,0.743538064,"WATCHLIST: Reference return -3.2%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 3.88) | Lower Warning: 3.69, Lower Danger: 3.49, Upper Warning: 4.07, Upper Danger: 4.27",WATCHLIST,Speculative,Acceptable,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Acceptable,38.21,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
STRK/USDT,MATURE,0.03,Downward,-1,-0.42,35,36.95,Bearish,-4.44,High Risk,Caution,0,8.4,D,Underweight,Conservative Allocation,-1.120419869,"WATCHLIST: Reference return -4.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.03) | Lower Warning: 0.03, Lower Danger: 0.03, Upper Warning: 0.03, Upper Danger: 0.04",WATCHLIST,Speculative,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Speculative | Fragile,15.42,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
SENT/USDT,MATURE,0.02,Unknown,0,-2.08,0,36.28,Bearish,-6.75,High Risk,Caution,0,-10.1,D,Underweight,Conservative Allocation,-1.154671785,"WATCHLIST: Reference return -6.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.01, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,0.4,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
SAND/USDT,MATURE,0.08,Downward,-1,0.18,50,43.35,Neutral,-1.43,High Risk,Caution,0,18.3,D,Underweight,Conservative Allocation,-1.848064976,"WATCHLIST: Reference return -1.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.08) | Lower Warning: 0.07, Lower Danger: 0.07, Upper Warning: 0.08, Upper Danger: 0.08",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,22.78,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
RDNT/USDT,MATURE,0,Downward,-1,-2.28,10,37.55,Bearish,-4.74,High Risk,Caution,0,-8.7,D,Underweight,Conservative Allocation,-1.57438872,"WATCHLIST: Reference return -4.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,1.95,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
TOMO/USDT,MATURE,1.38,Upward,1,1.09,60,51.39,Neutral,1.05,Mediate Risk,Caution,0,31.4,D,Underweight,Conservative Allocation,0.920370726,"WATCHLIST: Reference return 1.1%, Safety 0.0/100, Risk: Mediate Risk","Risk Reference Prices (Current: 1.38) | Lower Warning: 1.31, Lower Danger: 1.24, Upper Warning: 1.45, Upper Danger: 1.52",WATCHLIST,Speculative,Acceptable,Balanced Growth,Selective Exposure,Growth Allocation,Mediate Risk | Speculative | Acceptable,31.28,Suitable for investors seeking a balance between upside potential and manageable volatility. Current setup allows selective exposure under controlled sizing.
ALLO/USDT,MATURE,0.11,Upward,1,-1.13,35,60.51,Neutral,2.37,High Risk,Caution,0,9.8,D,Underweight,Conservative Allocation,-1.476563291,"WATCHLIST: Reference return 2.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.11) | Lower Warning: 0.1, Lower Danger: 0.1, Upper Warning: 0.11, Upper Danger: 0.12",WATCHLIST,Speculative,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Speculative | Fragile,16.42,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
MATIC/USDT,MATURE,0.38,Downward,-1,-3.35,30,42.92,Neutral,-2.62,High Risk,Caution,0,-6.2,D,Underweight,Conservative Allocation,-1.535742488,"WATCHLIST: Reference return -2.6%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.38) | Lower Warning: 0.36, Lower Danger: 0.34, Upper Warning: 0.4, Upper Danger: 0.42",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,3.56,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ID/USDT,MATURE,0.03,Downward,-1,-0.95,30,37.05,Bearish,-4.39,High Risk,Caution,0,2.7,D,Underweight,Conservative Allocation,-2.696189932,"WATCHLIST: Reference return -4.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.03) | Lower Warning: 0.03, Lower Danger: 0.03, Upper Warning: 0.03, Upper Danger: 0.03",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,11.64,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
AMP/USDT,MATURE,0,Downward,-1,-1.73,30,38.31,Bearish,-3.75,High Risk,Caution,0,-2.2,D,Underweight,Conservative Allocation,-2.454666015,"WATCHLIST: Reference return -3.8%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,8.35,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
INJ/USDT,MATURE,2.82,Downward,-1,-1.35,35,45.72,Neutral,-2.54,High Risk,Caution,0,2.1,D,Underweight,Conservative Allocation,-2.156429495,"WATCHLIST: Reference return -2.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 2.81) | Lower Warning: 2.67, Lower Danger: 2.53, Upper Warning: 2.96, Upper Danger: 3.1",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,12.08,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
DENT/USDT,MATURE,0,Upward,1,-3.16,30,49.99,Neutral,-5.08,High Risk,Caution,0,-4.9,D,Underweight,Conservative Allocation,-0.921058273,"WATCHLIST: Reference return -5.1%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,5.13,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
